get_schema | время выполнения - 1.6689300537109375e-06 секунд
google_scraper | время выполнения - 0.8820037841796875 секунд
factorial | время выполнения - 1.7642974853515625e-05 секунд
factorial | время выполнения - 0.00022172927856445312 секунд
factorial | время выполнения - 0.0028731822967529297 секунд
factorial1 | время выполнения - 0.0028810501098632812 секунд
factorial1 | время выполнения - 0.002860546112060547 секунд
factorial1 | время выполнения - 0.0027043819427490234 секунд
factorial1 | время выполнения - 0.0028162002563476562 секунд
factorial1 | время выполнения - 0.002776622772216797 секунд
factorial1 | время выполнения - 0.0027589797973632812 секунд
factorial1 | время выполнения - 0.002760648727416992 секунд
factorial1 | время выполнения - 0.002813577651977539 секунд
factorial1 | время выполнения - 0.0028367042541503906 секунд
factorial1 | время выполнения - 0.002763509750366211 секунд
factorial1 | время выполнения - 0.0027670860290527344 секунд
factorial1 | время выполнения - 0.0028548240661621094 секунд
factorial1 | время выполнения - 0.018324851989746094 секунд
factorial1 | время выполнения - 0.018547534942626953 секунд
factorial1 | время выполнения - 2.161634683609009 секунд
factorial1 | время выполнения - 2.186410665512085 секунд
factorial1 | время выполнения - 2.034632921218872 секунд
factorial1 | время выполнения - 1.9797711372375488 секунд
google_scraper | время выполнения - 0.8649988174438477 секунд
google_scraper | время выполнения - 0.803797721862793 секунд
google_scraper | время выполнения - 0.8872547149658203 секунд
google_scraper | время выполнения - 0.9467470645904541 секунд
google_scraper | время выполнения - 0.7312743663787842 секунд
google_scraper | время выполнения - 0.837965726852417 секунд
