Date	GoogleRequestCount
02/Feb/2020	32
03/Feb/2020	60
04/Feb/2020	38
05/Feb/2020	31
06/Feb/2020	36
07/Feb/2020	36
08/Feb/2020	56
09/Feb/2020	49
10/Feb/2020	35
11/Feb/2020	58
12/Feb/2020	31
13/Feb/2020	70
14/Feb/2020	50
15/Feb/2020	55
16/Feb/2020	51
17/Feb/2020	46
18/Feb/2020	49
19/Feb/2020	49
20/Feb/2020	114
21/Feb/2020	39
22/Feb/2020	76
23/Feb/2020	106
24/Feb/2020	96
25/Feb/2020	53
26/Feb/2020	68
27/Feb/2020	62
28/Feb/2020	55
29/Feb/2020	55
01/Mar/2020	63
02/Mar/2020	66
03/Mar/2020	152
04/Mar/2020	28
