get | время выполнения - 0.17297029495239258 секунд
get | время выполнения - 0.23603105545043945 секунд
get | время выполнения - 0.5645773410797119 секунд
get | время выполнения - 0.32979726791381836 секунд
get | время выполнения - 0.4041411876678467 секунд
get | время выполнения - 0.3802316188812256 секунд
get | время выполнения - 0.265972375869751 секунд
get | время выполнения - 0.5998857021331787 секунд
get | время выполнения - 0.535728931427002 секунд
get | время выполнения - 0.25955653190612793 секунд
get | время выполнения - 0.19635605812072754 секунд
get | время выполнения - 0.3514838218688965 секунд
get | время выполнения - 0.4393186569213867 секунд
get | время выполнения - 0.6796541213989258 секунд
get | время выполнения - 0.3316957950592041 секунд
get | время выполнения - 0.23018980026245117 секунд
get | время выполнения - 0.3321847915649414 секунд
get | время выполнения - 0.3571908473968506 секунд
get | время выполнения - 0.25776052474975586 секунд
get | время выполнения - 0.2725498676300049 секунд
get | время выполнения - 0.4132394790649414 секунд
get | время выполнения - 0.40549612045288086 секунд
get | время выполнения - 0.6422557830810547 секунд
get | время выполнения - 0.15555334091186523 секунд
get | время выполнения - 0.4201822280883789 секунд
get | время выполнения - 0.3731067180633545 секунд
get | время выполнения - 0.4766499996185303 секунд
get | время выполнения - 0.5846719741821289 секунд
get | время выполнения - 0.44222164154052734 секунд
get | время выполнения - 0.7531752586364746 секунд
get | время выполнения - 0.7555713653564453 секунд
get | время выполнения - 0.19115281105041504 секунд
get | время выполнения - 0.2379322052001953 секунд
get | время выполнения - 1.0483019351959229 секунд
get | время выполнения - 0.29984259605407715 секунд
get | время выполнения - 0.18037748336791992 секунд
get | время выполнения - 0.750507116317749 секунд
get | время выполнения - 0.30001282691955566 секунд
get | время выполнения - 0.1997082233428955 секунд
get | время выполнения - 0.34085893630981445 секунд
get | время выполнения - 0.2899353504180908 секунд
get | время выполнения - 0.43782544136047363 секунд
get | время выполнения - 0.25681233406066895 секунд
get | время выполнения - 0.7803988456726074 секунд
get | время выполнения - 0.2633640766143799 секунд
get | время выполнения - 0.7447195053100586 секунд
get | время выполнения - 0.6468966007232666 секунд
get | время выполнения - 0.6023406982421875 секунд
get | время выполнения - 0.5825459957122803 секунд
get | время выполнения - 0.21447396278381348 секунд
get | время выполнения - 0.4179959297180176 секунд
get | время выполнения - 0.754568338394165 секунд
get | время выполнения - 0.6086242198944092 секунд
get | время выполнения - 0.24624419212341309 секунд
get | время выполнения - 0.7463407516479492 секунд
get | время выполнения - 0.21174359321594238 секунд
get | время выполнения - 0.3960096836090088 секунд
get | время выполнения - 0.3477213382720947 секунд
get | время выполнения - 0.22626519203186035 секунд
get | время выполнения - 0.3999462127685547 секунд
get | время выполнения - 0.28662705421447754 секунд
get | время выполнения - 0.3650386333465576 секунд
get | время выполнения - 0.2072434425354004 секунд
get | время выполнения - 0.6372008323669434 секунд
get | время выполнения - 0.38898491859436035 секунд
get | время выполнения - 0.3318142890930176 секунд
get | время выполнения - 0.7952055931091309 секунд
get | время выполнения - 0.2540924549102783 секунд
get | время выполнения - 1.1736419200897217 секунд
get | время выполнения - 0.5450460910797119 секунд
get | время выполнения - 0.7443680763244629 секунд
get | время выполнения - 0.5191967487335205 секунд
get | время выполнения - 0.2745845317840576 секунд
get | время выполнения - 0.5775535106658936 секунд
get | время выполнения - 0.8160080909729004 секунд
get | время выполнения - 0.3830585479736328 секунд
get | время выполнения - 0.6049623489379883 секунд
get | время выполнения - 0.3622865676879883 секунд
